"customer_id","customerfullname","favoritescategory"
35,"Virginia - Green","Comedy === Drama === Horror === Sci-Fi === Foreign === Foreign === Sci-Fi === Comedy === Sports === Sports === Family === Horror === Action === Animation === Classics === Comedy === Sci-Fi === Family === New === Documentary === Action === Sports === Action === Drama === Music === Horror === Action === Comedy === Sci-Fi === Foreign === Sci-Fi === Action"
36,"Kathleen - Adams","Foreign === Music === Music === Animation === Children === Music === Horror === Action === Family === New === Music === Classics === Music === Foreign === Sports === Drama === Games === Children === Action === Classics === Comedy === Animation === Children === Children === Sports === Classics === Comedy"
37,"Pamela - Baker","Sci-Fi === Comedy === Classics === Documentary === Animation === Classics === Children === Classics === New === Comedy === New === Documentary === Comedy === Games === Sports === Music === Drama === Music === Games === Games === Drama === Sci-Fi === Comedy"
38,"Martha - Gonzalez","Classics === Horror === Children === Animation === Children === Children === Classics === Comedy === Sci-Fi === Children === Travel === Children === Classics === Music === Foreign === Drama === Drama === New === Travel === Family === Family === Documentary === Children === Classics === New === Family === Foreign === Children === Foreign === Foreign === Documentary === Classics === Family === Animation"
39,"Debra - Nelson","Foreign === Travel === Classics === Comedy === New === New === Drama === Family === Sports === Comedy === Sports === Action === New === Horror === Action === Family === Animation === Foreign === Animation === Drama === Documentary === Sci-Fi === Games === Games === Games === Action === Horror === Children === Sci-Fi"
40,"Amanda - Carter","Games === Games === Comedy === Horror === Documentary === Foreign === Sci-Fi === Documentary === Classics === Foreign === Horror === Children === Action === Children === Drama === Music === Children === Action === Action === Documentary === Classics === Animation === Games === Family === Comedy === Animation === Family"
41,"Stephanie - Mitchell","Sports === Drama === Sci-Fi === Games === Sci-Fi === Music === Comedy === Animation === Action === Sports === Games === Sci-Fi === Foreign === Animation === Animation === Animation === Family === Games === Documentary === Animation === Family === Action === Documentary === Foreign === Foreign"
42,"Carolyn - Perez","Action === Documentary === Music === Action === Drama === Music === New === Games === Documentary === Horror === Travel === Foreign === Comedy === Family === Documentary === Children === Sci-Fi === Sci-Fi === Action === Horror === Classics === Action === Horror === Animation === Sci-Fi === Sci-Fi === Drama === Sci-Fi === Sports === Sci-Fi"
43,"Christine - Roberts","Sci-Fi === New === Classics === Classics === New === Children === New === Travel === New === Sci-Fi === Family === Family === Travel === Travel === Games === Documentary === Sports === Documentary === Foreign === Action === Foreign === Horror === Games === Action"
44,"Marie - Turner","Sci-Fi === Games === Sci-Fi === Comedy === Drama === Animation === Games === Comedy === Games === Documentary === Games === Music === Animation === Children === Horror === Animation === Children === Animation === Horror === Animation === Travel === Action === Music === Sports === Action === Comedy"
45,"Janet - Phillips","Comedy === Sports === New === Action === Foreign === Children === Family === Games === Music === Classics === Games === Sci-Fi === Classics === Action === Sci-Fi === Family === Children === Sci-Fi === Action === Family === Classics === Action === Games === Sports === Comedy === Documentary === Travel"
46,"Catherine - Campbell","Classics === Documentary === Games === New === Drama === Family === Classics === Foreign === Travel === Horror === Animation === Horror === Family === Action === Games === Music === Sci-Fi === Music === Horror === New === Animation === Drama === Animation === Animation === Travel === Games === Drama === Sci-Fi === Children === Comedy === Classics === Family === Animation === Family"
47,"Frances - Parker","Foreign === Action === Action === Travel === Comedy === Games === Animation === Travel === Drama === Action === Comedy === Children === Comedy === Sports === Foreign === Sci-Fi === Drama === Comedy === Animation === Children === Animation === Action"
48,"Ann - Evans","Animation === Animation === Action === Music === Children === Action === Travel === Foreign === Sci-Fi === Music === Foreign === Comedy === Music === Family === Classics === Children === Foreign"
49,"Joyce - Edwards","Action === Sci-Fi === Animation === Music === Games === Family === Documentary === Classics === Children === Family === New === Family === Sports === Horror === Classics === Documentary === Family === Children === New === New === Family === Foreign === Action === Sci-Fi === Foreign === Action === Animation === Animation"
50,"Diane - Collins","Drama === Travel === Animation === Travel === Children === Travel === Action === Comedy === Foreign === Horror === Drama === Family === Foreign === Drama === Games === Children === Foreign === Family === Foreign === Children === Music === Drama === Documentary === New === Games === Sci-Fi === Animation === Foreign === Documentary === Sci-Fi === Games === Music === Music === Horror === Drama"
51,"Alice - Stewart","Animation === Foreign === Drama === Drama === Classics === Games === Travel === Action === Comedy === Sci-Fi === Music === Family === New === Music === Drama === Foreign === Family === Travel === Comedy === Action === Action === Documentary === Drama === Foreign === Animation === Action === Animation === Action === Sci-Fi === Comedy === Action === Family === Sci-Fi"
52,"Julie - Sanchez","Drama === Horror === New === Documentary === Classics === Action === Sci-Fi === Comedy === Documentary === Games === Games === Horror === Foreign === Travel === Classics === Documentary === Documentary === Foreign === Comedy === Children === Drama === Sports === Classics === Children === Comedy === Comedy === Family === Music === Children"
53,"Heather - Morris","Classics === Classics === Foreign === Sports === Animation === Comedy === Classics === Drama === Travel === Travel === Children === Documentary === Sports === Animation === Sports === Drama === Drama === Documentary === Sci-Fi === Sports === Drama === Classics === Children === Classics === Foreign === Family === New === Animation === Documentary === Games"
54,"Teresa - Rogers","Comedy === Classics === Comedy === Games === Classics === Games === Music === Travel === Documentary === New === Animation === Sci-Fi === New === Sports === Drama === Animation === Sci-Fi === Animation === Classics === Family === Comedy === Animation === Family === Animation === Animation === Documentary === Comedy === Family === New"
55,"Doris - Reed","Foreign === Games === Family === Comedy === Foreign === Sports === Action === Classics === Sports === Drama === New === Drama === Children === Games === Action === Documentary === Animation === Horror === New === Sports === Sci-Fi === Games"
56,"Gloria - Cook","Action === Comedy === Comedy === Travel === Games === Classics === Travel === Family === Documentary === Games === Classics === Sports === Sci-Fi === Comedy === New === Classics === Children === Animation === Classics === Foreign === Drama === Comedy === Foreign === Action === Drama === Sports === Action === Documentary === Sci-Fi === Travel"
57,"Evelyn - Morgan","Documentary === Sci-Fi === Action === Classics === Horror === Sci-Fi === Comedy === Classics === Sci-Fi === Games === Games === Action === Sports === Classics === Horror === Sports === Family === Family === Action === Foreign === Foreign === Documentary === Foreign === Foreign === Games === Action === Children === New"
58,"Jean - Bell","Comedy === Action === Children === Drama === Family === Comedy === Games === Documentary === Travel === Foreign === Documentary === Drama === Sci-Fi === Action === Comedy === Foreign === Foreign === Animation === Games === Action === Family === Travel === Sports === Sports === Sci-Fi === Horror === New"
59,"Cheryl - Murphy","Travel === New === Sports === New === Horror === Comedy === Documentary === Family === Travel === Comedy === Sports === Drama === Travel === New === Travel === Games === Music === Music === Comedy === Animation === Horror === Animation === New === Classics === New === Drama === Foreign"
60,"Mildred - Bailey","New === Foreign === Children === Family === Action === Horror === Horror === Documentary === Children === Sports === Sports === Action === Drama === Action === Travel === Sci-Fi === Action === Music === Games === Music === Sports === Music === Foreign === Games === Classics"
61,"Katherine - Rivera","Comedy === Sci-Fi === Classics === Sci-Fi === Classics === Music === New === Sports === Action === Games === Sports === Drama === Family === Drama"
62,"Joan - Cooper","Sci-Fi === Drama === Games === Drama === Games === Horror === Action === Animation === New === Games === Documentary === Horror === Sports === Games === Animation === Comedy === Music === Sci-Fi === Games === Classics === Animation === Family === Music"
63,"Ashley - Richardson","New === Comedy === Music === Drama === Sports === Drama === Sci-Fi === New === Documentary === Drama === Foreign === Classics === New === Documentary === Action === Children === Children === Comedy === Horror === Travel === Games === New === Documentary === Travel === Documentary"
64,"Judith - Cox","Drama === Family === Children === Sci-Fi === Music === Drama === Animation === Family === Documentary === Documentary === Animation === New === Documentary === Action === Animation === Documentary === Music === Comedy === Comedy === Travel === Comedy === Documentary === Travel === Animation === Games === New === Foreign === Music === Animation === Classics === Drama === Drama === Documentary"
65,"Rose - Howard","Travel === Drama === Horror === Comedy === Animation === Action === Foreign === Action === Animation === Animation === Action === Foreign === Drama === Sports === Music === Family === Documentary === Travel === Comedy === Drama === Sci-Fi === Animation"
66,"Janice - Ward","Horror === Documentary === Music === Family === Family === Comedy === Games === Action === Family === Drama === Foreign === Travel === Games === Drama === New === Classics === Horror === Animation === Children === Travel === Foreign === Classics === Sports === Foreign === Documentary === Classics === Classics === Action === Action === Games === Comedy === Documentary === Drama === Games"
67,"Kelly - Torres","Games === Documentary === Sports === Comedy === Games === Action === Comedy === Documentary === Travel === Family === Sci-Fi === Games === Music === Children === New === Action === Family === Sci-Fi === Documentary === Action === Horror === New"
68,"Nicole - Peterson","Family === Classics === New === Comedy === New === Sports === Action === Family === Games === Children === Action === Animation === Games === Documentary === Sports === Classics === Music === Drama === Family === Children === Drama === Classics"
69,"Judy - Gray","Music === Sci-Fi === Children === Music === Family === Sci-Fi === Classics === Family === Travel === Sci-Fi === Sci-Fi === Drama === New === Sports === Games === Games === Classics === Music === New === Horror === Children === Games === Action === Family === Animation"
70,"Christina - Ramirez","Games === New === Music === Family === Games === Documentary === Animation === Documentary === Foreign === Horror === Sci-Fi === New === Sports === Comedy === Sports === Sports === Animation === Music"
71,"Kathy - James","Music === New === Animation === Classics === Foreign === Foreign === Sports === Action === Action === Sci-Fi === Games === Animation === Action === Children === Music === Family === Documentary === Travel === Music === Travel === Sports === Music === Animation === Music === Foreign === Games === Drama === Music === Action === Family"
72,"Theresa - Watson","Horror === New === Horror === Foreign === Music === Games === Foreign === Classics === Animation === Horror === Music === Comedy === Family === Animation === Animation === Drama === Music === Documentary === Documentary === Horror === Action === Action === Classics === Action === Children === Sports === Animation === Sports === Action === Sports"
73,"Beverly - Brooks","Children === Foreign === Drama === Family === Games === Horror === Children === Family === Children === New === Games === Classics === Documentary === Classics === Documentary === Drama === New === Games === Animation === Foreign === Foreign === Foreign === Action === Children"
74,"Denise - Kelly","Sci-Fi === Travel === Foreign === Classics === Sports === Sci-Fi === Horror === Travel === Family === Sci-Fi === Comedy === Travel === Games === Travel === Horror === Children === Animation === Animation === Games === Action === Sci-Fi === Sports === Animation === Documentary === Classics === Children === Classics"
75,"Tammy - Sanders","Family === Sci-Fi === Family === Sports === New === Documentary === Travel === Foreign === Animation === Classics === Classics === Animation === Action === Animation === Children === Games === Classics === Family === Family === Sci-Fi === New === Children === Action === Comedy === Horror === Foreign === Family === Comedy === Documentary === Action === Drama === Children === Children === Foreign === Classics === Music === Family === Action === Travel === New === Foreign"
76,"Irene - Price","Animation === Drama === Horror === Children === Documentary === Music === Sports === New === Drama === Comedy === Animation === Drama === Documentary === Foreign === Drama === Documentary === Drama === Family === Animation === Children === Animation === Drama === Family"
77,"Jane - Bennett","Action === Documentary === Documentary === Games === Family === Horror === Comedy === Games === Classics === Sports === Classics === Drama === Comedy === Family === Sports === Games === Family === Classics === Drama === Action === Sci-Fi === Music === Travel === Sports === Travel === Sci-Fi === Horror === Music"
78,"Lori - Wood","Documentary === Family === Sci-Fi === Sports === Action === Sci-Fi === Sci-Fi === Travel === Family === Sports === Sports === Animation === Comedy === Sci-Fi === Children === Children === Animation === New === Action === Action === Action === Classics === Family === Animation === Family === Sports === New === Horror === Classics === Sports === Comedy"
79,"Rachel - Barnes","Horror === Horror === Sci-Fi === Classics === Foreign === Games === Foreign === Drama === Drama === Comedy === Horror === Sci-Fi === Drama === New === New === Sports === Horror === Sci-Fi === Sci-Fi === Games === Action === Sci-Fi"
80,"Marilyn - Ross","Classics === New === Foreign === New === New === Children === Sports === Music === Comedy === Drama === Sports === New === Comedy === Travel === Documentary === Classics === Games === Family === Documentary === Horror === Animation === Animation === Drama === New === Foreign === Sci-Fi === Horror === Documentary === Music === Family"
81,"Andrea - Henderson","Family === Sci-Fi === Documentary === Foreign === Games === New === Horror === Horror === Family === Horror === Documentary === Comedy === Games === Family === Sports === New === Sci-Fi === Comedy === Horror === Sports === Animation === Sports"
82,"Kathryn - Coleman","Children === Drama === Action === Documentary === Action === Animation === Animation === Action === Travel === Sports === Animation === Family === Horror === Music === Documentary === Animation === Action === Sci-Fi === Music === Classics === Sci-Fi === Sports === New === Horror === Comedy === Sci-Fi"
83,"Louise - Jenkins","Sci-Fi === New === Drama === Sci-Fi === Action === Action === Children === Classics === Animation === Classics === Sci-Fi === Sci-Fi === Animation === Classics === Documentary === Foreign === Games === Sci-Fi === Classics === Animation === Documentary === Sports === New === Travel === Horror"
84,"Sara - Perry","Animation === Sports === Documentary === Children === Drama === Classics === Travel === Sports === Documentary === Family === Animation === Games === Children === Drama === Comedy === Foreign === Sports === Animation === Horror === Sci-Fi === Foreign === Children === Animation === Drama === Family === Comedy === Action === Horror === Sports === Family === Classics === Foreign === Action"
85,"Anne - Powell","New === Action === Comedy === Sci-Fi === Documentary === Music === Documentary === Classics === Sci-Fi === Travel === Classics === Foreign === New === Action === Travel === Sci-Fi === Comedy === Foreign === Games === Drama === Comedy === Travel === Horror"
86,"Jacqueline - Long","Travel === Drama === Family === Animation === Animation === Music === Sports === Classics === Action === Sci-Fi === Drama === Horror === New === Foreign === Family === Classics === Horror === Drama === Animation === Foreign === Sports === Comedy === Documentary === Sports === Children === Music === Drama === Children === Foreign === Classics === Sci-Fi === Documentary === Horror"
87,"Wanda - Patterson","New === Sports === Travel === Action === Travel === Children === Games === Drama === Animation === Sci-Fi === Games === New === Action === Classics === Children === Classics === Documentary === Sci-Fi === Comedy === Sports === Comedy === Classics === Sports === Animation === Children === Sci-Fi === Action === Music === Music === Documentary"
88,"Bonnie - Hughes","Travel === Comedy === Children === Classics === Animation === Music === Foreign === Family === Sci-Fi === Sports === Family === Music === Family === Travel === Horror === Action === Travel === New === Animation === Horror === Music"
89,"Julia - Flores","Sports === Action === Classics === Action === Music === Sports === Documentary === Action === Games === Documentary === Comedy === Drama === Drama === Classics === Documentary === Drama === Action === Games === Travel === Horror === Animation === Comedy === Foreign === Family === Travel === Sports === Sci-Fi === Horror === Family === Documentary === New === Comedy"
90,"Ruby - Washington","Foreign === Animation === New === Animation === Games === Travel === Action === Sports === Children === Sci-Fi === Music === Music === Drama === Sci-Fi === Drama === Drama === Games === Animation === Music === Games === Music === Sci-Fi === Animation === New === Music === Family === Animation === Drama"
91,"Lois - Butler","Games === Travel === Drama === Sci-Fi === New === Classics === Action === Drama === Music === Comedy === Family === Sports === Classics === Action === Travel === Comedy === Sports === Animation === Documentary === Horror === Drama === Children === Comedy === Comedy === Travel === Documentary === Sports === Sports === Documentary === Children === Children === Sci-Fi === Horror === Sports === Drama"
92,"Tina - Simmons","Drama === Children === New === Sci-Fi === Documentary === Horror === New === Documentary === Music === Travel === Horror === New === Horror === Classics === Horror === Foreign === Drama === Drama === Travel === Comedy === Animation === Sci-Fi === Comedy === Action === Animation === Drama === Documentary === Classics"
93,"Phyllis - Foster","Animation === Sports === Foreign === Games === Drama === Classics === Sports === Comedy === Foreign === Foreign === Classics === Games === Sports === Action === Music === Family === Music === Animation === Classics === Horror === Classics === Documentary === Action"
94,"Norma - Gonzales","Foreign === Horror === Family === Action === Comedy === Documentary === Classics === Music === Sports === Animation === Games === Animation === Family === Sports === Drama === Sci-Fi === Family === Drama === Sci-Fi === Horror === Documentary"
95,"Paula - Bryant","Drama === Music === Family === Family === Classics === Classics === Foreign === Action === Documentary === Comedy === Sports === Comedy === Action === Children === Action === Foreign === New === Drama"
96,"Diana - Alexander","Classics === Documentary === Music === Children === Documentary === Documentary === Family === Animation === Drama === Drama === Classics === Documentary === New === Drama === Foreign === Comedy === Drama === Foreign === Sports === Games === Sports === New === Classics === Games === Foreign === Family === Horror"
97,"Annie - Russell","Comedy === New === New === Travel === Action === Games === New === Horror === Documentary === New === Travel === Foreign === Documentary === Music === Foreign === Animation === Music === Documentary"
98,"Lillian - Griffin","Sci-Fi === Music === New === Games === Family === Sci-Fi === Sports === Sports === Games === Children === Classics === Documentary === New === Documentary === Family === Drama === Music === Sports === Drama === Sports === Action === Games === Foreign === Comedy === Travel"
99,"Emily - Diaz","Classics === Animation === Sci-Fi === Family === Drama === Sports === Classics === Sci-Fi === New === Sports === Foreign === Documentary === Family === New === Horror === Action === Sports === Foreign === Documentary === New === Animation === Comedy === Sports === Animation"
100,"Robin - Hayes","Classics === Animation === Action === Documentary === Sci-Fi === Sports === Travel === Family === Games === Action === Classics === Classics === Comedy === Documentary === Animation === Travel === Comedy === Animation === Animation === Comedy === Drama === Classics === Children === Family"
101,"Peggy - Myers","Animation === Animation === Horror === Sports === Sci-Fi === Sci-Fi === Travel === Children === Sci-Fi === Horror === Action === Music === Games === Animation === Comedy === Animation === Games === Animation === Sci-Fi === Sci-Fi === Music === Sports === Horror === Sports"
102,"Crystal - Ford","Animation === Drama === Classics === Sci-Fi === Horror === Documentary === Family === Action === Family === Comedy === Sports === Foreign === Travel === Action === Action === Sports === Family === Comedy === Classics === Documentary === Sci-Fi === Sci-Fi === Sports === Children === Classics === Sci-Fi === Documentary === Games === Comedy === Action === Sci-Fi === Family === Animation"
103,"Gladys - Hamilton","Horror === Documentary === New === Children === Family === Travel === Family === Children === Sports === Animation === Action === Music === Animation === Comedy === Foreign === Animation === Documentary === Documentary === Foreign === Sports === Sci-Fi === Comedy === Animation === Travel === Sports === Action === Action === Horror === Horror === Games === Drama"
104,"Rita - Graham","Action === Drama === Travel === Games === Children === Sports === Travel === Animation === Music === Animation === Drama === Family === Comedy === Sports === New === New === Drama === Foreign === Action === Foreign === Children === Foreign === Classics === Action"
105,"Dawn - Sullivan","Children === Music === Comedy === Games === Action === Children === Sports === Sci-Fi === Music === Sci-Fi === New === Music === Animation === Comedy === Children === Sports === Music === Children === Games === Travel === Animation === Sports === Games === Travel === Sci-Fi === Action"
106,"Connie - Wallace","Family === Documentary === Family === Comedy === Action === Classics === Travel === Games === Action === Horror === Horror === Travel === Horror === Classics === New === Music === Sci-Fi === Games === Children === Children === Family === Horror === Sports"
107,"Florence - Woods","New === Sci-Fi === Documentary === Games === Sports === New === Sci-Fi === Comedy === Sports === Drama === Music === Sports === Sci-Fi === Sports === Travel === Family === Foreign === Sci-Fi === Comedy === Documentary === Family === Family === Games === Foreign === Animation === Games === Sci-Fi === Music === Drama === Drama"
108,"Tracy - Cole","Drama === Classics === Drama === Travel === Comedy === Sci-Fi === Drama === New === Comedy === Comedy === Sci-Fi === Action === Comedy === Children === Foreign === Animation === New === Sci-Fi === Foreign === Music === Action === Documentary === Animation === Family === New === Music === Children === Horror === Animation === Sci-Fi"
109,"Edna - West","Horror === Sci-Fi === Drama === Family === Games === Action === Sports === Travel === Sports === Classics === Travel === Sci-Fi === New === Classics === Children === Foreign === Music === Sci-Fi === Classics === Family === Travel === Sci-Fi === Action === Comedy === Documentary === Classics"
110,"Tiffany - Jordan","Drama === Animation === Music === Documentary === Games === Documentary === Games === Animation === Foreign === Family === Drama === Travel === Classics === Foreign"
111,"Carmen - Owens","Foreign === Travel === Classics === Family === Animation === Travel === New === Animation === Travel === Horror === Action === Action === Games === Action === Action === Children === Action === Action === Documentary === Family === New === Animation === Foreign === Foreign === Horror === Horror"
112,"Rosa - Reynolds","Classics === Family === Comedy === Foreign === Games === Animation === Comedy === New === Classics === Classics === Family === Travel === Sports === Sci-Fi === Classics === Travel === Classics === Family === Drama === Animation === New === Drama === New === Horror === Documentary === Games === Drama === Sports === Drama === Animation"
113,"Cindy - Fisher","Documentary === Documentary === Drama === Drama === Travel === Documentary === Documentary === Action === Sports === Foreign === Family === Music === New === Sci-Fi === Drama === Sci-Fi === Family === Documentary === Classics === Drama === Travel === Family === Children === Comedy === Games === Horror === Horror === Animation === Foreign"
